StateID,AdjacentStateIDs
120,
121,123;282;819
122,129;133;282;818;819;833
123,121;124;818;819
124,123;130;132;813;818
125,69;127;130;136;813
126,137;160;237;248;876
127,125;132;136;139;393;812;813;820
128,131;138;815
129,122;133;817;833
130,69;124;125;813
131,128;138;812;815;816
132,124;127;393;813;818
133,122;129;815;816;817;818
134,
135,
136,63;125;127;820
137,115;126;237;248;315;809;1026
138,63;128;131;139;812
139,63;127;138;812;820
140,
141,
142,173;174;317;750
143,56;459;750;832;1015
144,459
145,
146,147;785
147,60;146;149;785;836;842;843
148,193;215;282;833
149,147;836
150,71;82;170;838;841
151,156;164;788;864
152,153;163;164;187;188;206;225
153,152;162;163;165;206;970;981
154,100;169;209
155,90;156;161;189
156,151;155;164;189
157,158;162;163;164;803;864
158,157;162;803;948;970
159,68;112;118
160,126;171;182;226;237;293;754;876
161,155;189;190
162,153;157;158;163;970
163,152;153;157;162;164
164,151;152;156;157;163;189;225;864
165,153;167;206;981;992
166,181;185;186;187;207;208
167,165;168;206;992;1003
168,167;172;206;207;838;1003
169,154;170;209;230;841
170,150;169;172;230;838;841
171,160;182;293;754;883
172,168;170;207;211;230;838
173,142;174;317;792;828
174,56;142;173;470;750;828
175,101;102;177;740
176,177;229;854;913;915
177,100;101;105;175;176;178;913;969
178,100;177;231;328;913
179,200;201;202;210;232;390;858
180,190;191;198;202;210
181,166;186;207;211;212;213;219;220
182,160;171;215;226;282
183,185;187;188;205;224;227
184,188;189;190;191;205;225
185,166;183;186;187;224
186,166;181;185;220;224
187,152;166;183;185;188;206;208
188,152;183;184;187;205;225
189,155;156;161;164;184;190;225
190,161;180;184;189;191
191,180;184;190;205;210;227
192,4;194;195;196;405
193,148;204;215;271;304
194,4;192;195;331;403;827
195,192;194;196;331;850;855;856;857
196,192;195;199;201;850
197,198;199;855;856
198,180;197;199;202
199,196;197;198;201;202;850;856;857
200,179;201;389;390
201,179;196;199;200;202
202,179;180;198;199;201;210
203,216;217;221;223;227;232;384;858
204,115;193;226;237;271;304
205,183;184;188;191;227
206,152;153;165;167;168;187;207;208
207,166;168;172;181;206;208;211
208,166;187;206;207
209,100;154;169;230;231
210,179;180;191;202;227;232
211,172;181;207;212;230;231
212,181;211;213;231
213,181;212;219;231;328
214,216;217;222;380;383;661;662;863
215,148;182;193;226;282;304
216,203;214;217;218;221;222
217,203;214;216;384;662
218,216;219;220;221;222;328;383;863
219,181;213;218;220;328
220,181;186;218;219;221;223;224
221,203;216;218;220;223
222,214;216;218;863
223,203;220;221;224;227
224,183;185;186;220;223;227
225,152;164;184;188;189
226,160;182;204;215;237;304
227,183;191;203;205;210;223;224;232
228,244;335;338;347;374;377;844
229,176;378;583;854;915
230,169;170;172;209;211;231
231,100;178;209;211;212;213;230;328
232,179;203;210;227;858
233,8;401;402;405;586
234,9;10;11;12;399
235,236;549;865;946
236,235;558;865
237,115;126;137;160;204;226
238,
239,865;866;867;868;869;871;874;946
240,266;556;717;804;935
241,440;509;510;551;672;673;674;676;789;798
242,800;801;802
243,540;542;543;694;736
244,228;335;374;457;695;895
245,467;468;469;476
246,505;507;999;1001
247,506;507;993;995;1004
248,126;137;404;825;876;1023;1026
249,478;487;488;495;498;499;979;983;984;1009;1010
250,
251,24;529;531
252,39;52;53;610;764;774;775
253,
254,512;514;517;686;907
255,22;682;761
256,50;623;625;780
257,418;649;1042;1044;1045
258,682;742;761;901;902;1041
259,315;603;809
260,450
261,5;15;16;406;687;688
262,690;691;888;889;890;891
263,669;888;890;1039
264,20;21;668
265,535;538;795;821;923
266,240;804
267,536;796
268,716;802;804
269,
270,106;493;876;878;879;1023
271,93;104;115;193;204
272,987;988
273,498;503;505;701;986;1000
274,478;484;486;500;701;989;994;1000;1002
275,277;482;483;484;486
276,289;485;698
277,275;278;477;482;483
278,277;279;477;480;485
279,278;477;479;480
280,
281,283;700;1012
282,121;122;148;182;215;819;833
283,281;980;1012
284,286;464
285,286;287;290
286,284;285;287;464;465
287,285;286
288,
289,276;290
290,285;289
291,292
292,291
293,160;171;754
294,408
295,1029
296,50;606;609;778;779
297,417;421;424;778;779;1031
298,417;418;420;778;1031
299,44;49;597;608;682;683;767;768;772;1040
300,596
301,33;630;631
302,34;523;731;732;733;734
303,564;567;568;569;664;846;849
304,193;204;215;226
305,563;564;845;846;847;849
306,
307,455;893
308,28;29;30;309
309,28;30;308
310,
311,27;742
312,
313,74;75;78;79;80;81
314,316;318;319
315,137;259;326;603;809;1022;1026
316,314;319;323;481
317,142;173;822
318,314;319;321;322
319,314;316;318;322;481
320,321;324;325;327;330;689;824
321,318;320;322;324
322,318;319;321;324;481;823
323,316;333;481;822
324,320;321;322;325;823
325,320;324;330;331;332;823
326,315;337;504;603;714;1022;1026
327,320;329;330;689;693
328,178;213;218;219;231;383;913;915
329,327;330;403;688;693;827
330,320;325;327;329;331;827
331,194;195;325;330;332;827
332,325;331;333;823
333,323;332;481;823
334,335;454;457
335,228;244;334;336;338;457
336,335;338
337,326;504;559;570;714
338,228;335;336;339;844
339,338;340;844
340,339;341;346;347;844
341,340;342;343;346
342,341;343
343,341;342;344;345;346
344,343;345
345,343;344;346;349
346,340;341;343;345;347;349;351;352
347,228;340;346;352;376;377;844
348,
349,345;346;350;351
350,349;351;354
351,346;349;350;352;353;354
352,346;347;351;353;363;364;373;376
353,351;352;354;355;362;363
354,350;351;353;355;469;471;473
355,353;354;356;362;473;474
356,355;357;358;360;362;474;475
357,356;358;365;475
358,356;357;360;365;367
359,95;955;956;957
360,356;358;361;362;367
361,360;362;364;367;368;371
362,353;355;356;360;361;363;364
363,352;353;362;364
364,352;361;362;363;371;373
365,357;358;366;367
366,365;367;463
367,358;360;361;365;366;368;463
368,361;367;369;371;458;460;463
369,368;371;372;456;458
370,106;108;114;116;882
371,361;364;368;369;372;373
372,369;371;373;375;456;695
373,352;364;371;372;375;376
374,228;244;375;376;377;695
375,372;373;374;376;695
376,347;352;373;374;375;377
377,228;347;374;376
378,229;379;383;583;915
379,378;380;383;574;582;583;661;663
380,214;379;383;661
381,107;526;715;1017;1020;1021
382,569;571;590;664;917
383,214;218;328;378;379;380;863;915
384,203;217;390;662;858
385,387;389;390;584;585;587;589;662;852;916
386,572;573;578;579;582;593;663
387,385;388;587;588;751;916
388,387;587;751;762;860
389,200;385;390;589
390,179;200;384;385;389;662;858
391,34;392;734
392,391;560;667;734
393,127;132;812;816;818
394,7;13;396;398;431;1034
395,6;396;397;401;402
396,6;394;395;397;398
397,16;395;396;401;406
398,6;7;394;396
399,7;11;12;13;234;400;586
400,7;8;399;402;586
401,5;233;395;397;402;405;406
402,6;7;8;233;395;400;401
403,4;5;194;329;688;827
404,248;504;548;825;1023;1026
405,4;5;192;233;401
406,5;16;261;397;401
407,
408,294;409;410;1028
409,408;410;411;412;1029
410,408;409;1029
411,409;412;417;421;422;1030
412,409;411;414;422;1029;1030
413,414;419;423;430
414,412;413;422;423;1029
415,109;110;675;1018
416,417;418;1044
417,297;298;411;416;418;421;1031
418,257;298;416;417;420;1037;1044;1045
419,413;423;424;425;430;1032;1035;1038
420,298;418;606;778;1037;1045
421,297;411;417;422;424
422,411;412;414;421;423;424;1030;1038
423,413;414;419;422;1038
424,297;419;421;422;425;779;1032;1038
425,419;424;1032
426,832;975;1015
427,428;429;430;432;811;1032;1033;1035
428,50;427;779;811;1032
429,9;10;427;811;1033
430,17;413;419;427;431;432;1035
431,17;394;430;1034
432,17;427;430;1033;1034
433,441;445;945
434,440;551;945
435,436;672;676
436,435;438;672;673
437,59;786;1018;1019
438,436;439;673;674
439,438;440;674
440,241;434;439;551;674
441,433;442
442,441;443;552;553
443,15;442;553;693;886;887
444,445;550;551;945
445,433;444;550;918;945
446,449;508;676
447,449;450;508
448,792;814;828;837;870;1016
449,446;447;508
450,260;447;451;508
451,450;508;509;713;807
452,461;897
453,454
454,334;453;457
455,307;893;894;895;896
456,369;372;458;695;898;899;900
457,244;334;335;454;895;896
458,368;369;456;460;898
459,143;144;750
460,368;458;461;462;463;898
461,452;460;462;463;897
462,460;461;696;897;898
463,366;367;368;460;461
464,284;286;465
465,286;464;466
466,465;467;476
467,245;466;469;476
468,245;469;472;476
469,245;354;467;468;471;472
470,56;58;174;828;830;837
471,354;469;472;473
472,468;469;471;473;474
473,354;355;471;472;474
474,355;356;472;473;475
475,356;357;474
476,245;466;467;468
477,277;278;279;479;483;487;1005
478,249;274;486;487;498;701;982;984;1007
479,279;477;487;700;1011;1013
480,278;279;485
481,316;319;322;323;333;823
482,275;277;483
483,275;277;477;482;486;487;1008
484,274;275;486;989
485,276;278;480
486,274;275;478;483;484;982;1008
487,249;477;478;479;483;979;982;984;1005;1006;1007;1008;1009;1010;1011;1012;1013
488,249;491;494;495;499;983;985
489,978;979;983
490,976;977
491,488;977;978;983;985
492,785;834;881;1014;1025
493,270;515;537;548;879;1023
494,488;495;985
495,249;488;494;498;986
496,497;505;987;988
497,496;505;986
498,249;273;478;495;701;986
499,249;488;983
500,274;502;994;995;1002
501,991;996;997
502,500;503;995;1002;1004
503,273;502;505;999;1000;1001;1002;1004
504,326;337;404;548;570;1026
505,246;273;496;497;503;986;988;999
506,247;507;1001;1004
507,246;247;506;993;998;1001
508,446;447;449;450;451;509;676
509,241;451;508;510;676;713;806;810
510,241;509;797;798;805;806;934;939;940
511,577;578;853;912
512,254;514
513,
514,254;512;686;905
515,107;108;493;526;537;879
516,686;904;906
517,254;686;906;907
518,686;904;905
519,680;1024
520,
521,35;38;523
522,
523,34;35;302;521;733
524,23
525,26;528
526,107;381;515;537;703;1017
527,
528,26;525;529;532
529,251;528;531;532
530,24
531,24;251;529;532
532,528;529;531
533,
534,665
535,265;671;735;795;923;926
536,267;795;796
537,493;515;526;548;604;659;703
538,265;923;924;927;928
539,540;929;930;931
540,243;539;543;694;929;931;1027
541,
542,243;543;736;932
543,243;540;542;794;932;1027
544,546;790;791;793;794;924;926;933;942;943
545,867;941;942;943
546,544;735;790;919;920;926;942
547,550;789;919;920;921;922
548,404;493;504;537;570;592;604;1023
549,235;872;873;918;946
550,444;445;547;551;789;918;921
551,241;434;440;444;550;789;945
552,442;553;689
553,442;443;552;689;693
554,
555,801;802;804;934;935
556,240;713;810;935
557,799;805;938;940
558,236;865;866;875
559,337;570;592
560,392;561;562;667
561,560;562;563;575;667;731;783
562,560;561;575;653;908;911
563,305;561;564;565;575;783;847
564,303;305;563;565;566;567;576;849
565,563;564;575;576
566,564;567;576
567,303;564;566;568;576;577
568,303;567;569;577;579
569,303;382;568;571;579;664
570,337;504;548;559;592
571,382;569;572;579;917
572,386;571;579;593;917
573,386;574;584;585;593;663
574,379;573;584;661;663
575,561;562;563;565;576;910;911
576,564;565;566;567;575;577;910;912
577,511;567;568;576;578;579;912
578,386;511;577;579;580;582;853
579,386;568;569;571;572;577;578
580,578;582;583;853;854
581,592;615;947
582,379;386;578;580;583;663
583,229;378;379;580;582;854
584,385;573;574;585;661;662
585,385;573;584;593;916
586,8;11;233;399;400;589;852;860;862
587,385;387;388;852;860;862
588,387;591;623;751;916
589,385;389;586;852
590,382;591;593;624;664;917
591,588;590;593;623;624;916
592,548;559;570;581;604;615;648
593,386;572;573;585;590;591;916;917
594,
595,40;596;597;602;746;747
596,300;595;598;602;605;607
597,40;299;595;602;608;683
598,596;599;605
599,41;598;605;619;769
600,45;601;763
601,41;42;45;600;611;612
602,595;596;597;607;608
603,259;315;326;1022
604,537;548;592;648;659
605,43;596;598;599;607;611;769
606,296;420;609;767;773;778;1045
607,43;596;602;605;608;627;771
608,299;597;602;607;610;768;771
609,50;296;606;773;775;776
610,44;49;252;608;627;764;768;771;774
611,42;43;601;605;612;627;769
612,39;45;601;611;620;621;627;764
613,46;614;620;621
614,46;613;616
615,581;592;626;648
616,46;614;617;618;732;733
617,46;51;616;618;628
618,51;616;617;731;732;845;847
619,41;599
620,45;612;613;621
621,39;46;54;612;613;620;628;629;766
622,48;52;53;628;629;766
623,256;588;591;624;625;751;780;782
624,590;591;623;664;782;846
625,9;50;256;623;751;762;811
626,615;637;648;692
627,43;607;610;611;612;764;771
628,46;48;51;617;621;622;766;845
629,39;53;54;621;622;766
630,33;301
631,301
632,
633,
634,32
635,
636,
637,626;692;834;892
638,
639,
640,
641,
642,
643,
644,
645,851;908
646,
647,
648,592;604;615;626;659;692
649,257;1041;1042;1045;1046
650,
651,
652,
653,562;851;908;911
654,
655,
656,
657,
658,
659,537;604;648;670;692;703
660,
661,214;379;380;574;584;662
662,214;217;384;385;390;584;661
663,379;386;573;574;582
664,303;382;569;590;624;846
665,534
666,16;687;889;891
667,392;560;561;731;734
668,18;20;264;690
669,21;263;690;890;1039
670,659;681;692;703;759;892;936
671,535;735;795;796;797;920;922
672,241;435;436;673;676
673,241;436;438;672;674
674,241;438;439;440;673
675,109;110;415;715;726;748;1020
676,241;435;446;508;509;672
677,98;102;957;964
678,739
679,
680,519;1024
681,670;737;759;784;892;903
682,22;255;258;299;683;761;901;902;1040
683,22;40;299;597;682
684,
685,
686,254;514;516;517;518;904;905;906;907
687,15;16;261;666;886;889
688,5;15;261;329;403;693
689,320;327;552;553;693;824
690,20;21;262;668;669;787;890;891
691,262;887;888;889
692,626;637;648;659;670;892
693,15;327;329;443;553;688;689
694,243;540;736;929
695,244;372;374;375;456;895;899
696,462;898;900
697,
698,276
699,
700,281;479;1012;1013
701,273;274;478;498;1000
702,
703,526;537;659;670;936;1017
704,
705,
706,
707,
708,
709,
710,
711,
712,
713,451;509;556;810
714,326;337
715,381;675;726;737;770;1017;1020
716,268;804
717,240
718,
719,
720,
721,
722,
723,
724,
725,
726,675;715;737;748;914
727,
728,
729,
730,
731,302;561;618;667;732;734;783;847
732,302;616;618;731;733
733,302;523;616;732;765
734,34;302;391;392;667;731
735,535;546;671;920;926
736,243;542;694
737,681;715;726;759;770;784;914
738,
739,678
740,102;175;965
741,
742,258;311;1041
743,
744,
745,
746,40;595
747,595
748,109;675;726;781;914;925
749,
750,56;142;143;174;459
751,387;388;588;623;625;762
752,
753,
754,113;160;171;293;876;878;883
755,25;36;108;116;884;885
756,
757,
758,
759,670;681;737;770;936
760,
761,255;258;682;901
762,9;11;388;625;751;860
763,600
764,39;252;610;612;627
765,733
766,54;621;622;628;629
767,299;606;772;773;1040;1045;1046
768,44;299;608;610
769,41;42;599;605;611
770,715;737;759;936;1017
771,607;608;610;627
772,49;299;767;773;774
773,606;609;767;772;774;775
774,49;252;610;772;773;775
775,52;252;609;773;774;776
776,50;52;609;775;777;780
777,48;52;776;780;782;845
778,296;297;298;420;606;779;1031
779,50;296;297;424;428;778;1032
780,50;256;623;776;777;782
781,109;748;814;826;859;870;925
782,623;624;777;780;845;846
783,561;563;731;847
784,681;737;903;914;937
785,146;147;492;842;1014
786,57;59;109;437;848;1018
787,690;891
788,151;803;814;864;1016
789,241;547;550;551;798;922
790,544;546;791;926
791,544;790;926
792,173;448;828;1016
793,544;794;932;933
794,543;544;793;924;932;1027
795,265;535;536;671;796;821
796,267;536;671;795;797;938;939
797,510;671;796;798;922;939
798,241;510;789;797;922
799,557;800;801;805
800,242;799;801
801,242;555;799;800;802;805;934
802,242;268;555;801;804
803,157;158;788;814;826;864;948
804,240;266;268;555;716;802;935
805,510;557;799;801;934;940
806,509;510;810;934
807,451
808,60;836;842;843;992;1003
809,104;115;137;259;315
810,509;556;713;806;934;935
811,9;50;427;428;429;625
812,127;131;138;139;393;816
813,124;125;127;130;132
814,448;781;788;803;826;870;1016
815,128;131;133;816;817
816,131;133;393;812;815;818
817,129;133;815;833
818,122;123;124;132;133;393;816;819
819,121;122;123;282;818
820,63;127;136;139
821,265;795
822,317;323
823,322;324;325;332;333;481
824,320;689
825,248;404;1026
826,781;803;814;925;948
827,194;329;330;331;403
828,173;174;448;470;792;837
829,55;56;58;830;975;1015
830,56;58;470;829
831,36;47;55
832,143;426;1015
833,122;129;148;282;817
834,492;637;881;892;903;1025
835,71;836;838
836,147;149;808;835;838;843;1003
837,58;448;470;828;848;870
838,71;150;168;170;172;835;836;1003
839,
840,82;841
841,82;150;169;170;840
842,60;147;785;808;992;1014
843,60;147;808;836
844,228;338;339;340;347
845,48;51;305;618;628;777;782;846;847
846,303;305;624;664;782;845;849
847,305;563;618;731;783;845
848,57;58;109;786;837;859;870
849,303;305;564;846
850,195;196;199;857
851,645;653;908
852,385;586;587;589;861;862
853,511;578;580
854,176;229;580;583
855,195;197;856
856,195;197;199;855;857
857,195;199;850;856
858,179;203;232;384;390
859,109;781;848;870
860,11;388;586;587;762;862
861,852;862
862,586;587;852;860;861
863,214;218;222;383
864,151;157;164;788;803
865,235;236;239;558;866;946
866,239;558;865;867;875
867,239;545;866;868;875;919;941;942
868,239;867;869;919
869,239;868;871;919;921
870,448;781;814;837;848;859
871,239;869;872;874;921
872,549;871;873;874;918;921
873,549;872;874;946
874,239;871;872;873;946
875,558;866;867;941
876,126;160;248;270;754;878;1023
877,106;113;114;878
878,106;113;270;754;876;877
879,106;108;270;493;515
880,68;112
881,492;834
882,114;116;370
883,171;754
884,36;755
885,25;36;59;755
886,15;443;687;887;889
887,443;691;886;889
888,262;263;691;890
889,262;666;687;691;886;887;891
890,262;263;669;690;888
891,262;666;690;787;889
892,637;670;681;692;834;903
893,307;455;894;896
894,455;893;896
895,244;455;457;695;896
896,455;457;893;894;895
897,452;461;462
898,456;458;460;462;696;900
899,456;695;900
900,456;696;898;899
901,258;682;761
902,258;682;1040;1041;1046
903,2;681;784;834;892;937;1025
904,516;518;686
905,514;518;686
906,516;517;686
907,254;517;686
908,562;645;653;851
909,
910,575;576;911;912
911,562;575;653;910
912,511;576;577;910
913,176;177;178;328;915
914,726;737;748;784;925;937;948;959
915,176;229;328;378;383;913
916,385;387;585;588;591;593
917,382;571;572;590;593
918,445;549;550;872;921
919,546;547;867;868;869;920;921;942
920,546;547;671;735;919;922
921,547;550;869;871;872;918;919
922,547;671;789;797;798;920
923,265;535;538;924;926
924,538;544;794;923;926;927;1027
925,748;781;826;914;948
926,535;544;546;735;790;791;923;924
927,538;924;928;931;1027
928,538;927;930;931
929,539;540;694
930,539;928;931
931,539;540;927;928;930;1027
932,542;543;793;794;933
933,544;793;932
934,510;555;801;805;806;810;935
935,240;555;556;804;810;934
936,670;703;759;770;1017
937,2;784;903;914;959
938,557;796;939;940
939,510;796;797;938;940
940,510;557;805;938;939
941,545;867;875;943
942,544;545;546;867;919;943
943,544;545;941;942
944,
945,433;434;444;445;551
946,235;239;549;865;873;874
947,581;951
948,158;803;826;914;925;959;970
949,
950,
951,947;1036
952,92;94;95
953,
954,61;94;958
955,95;97;359;956;958;960
956,97;359;955;957;963
957,98;359;677;956;963
958,61;94;95;954;955;960
959,2;914;937;948;970;981;1014
960,61;96;97;955;958;961
961,61;96;960;962
962,96;961
963,97;98;956;957
964,98;102;677;965
965,102;740;964
966,62;103;967
967,62;103;966;971
968,62;100;105;971
969,101;102;103;105;177
970,153;158;162;948;959;981
971,62;103;105;967;968
972,73;83;84;85;86
973,
974,
975,55;426;829;1015
976,490;977;978
977,490;491;976;978
978,489;491;976;977;983
979,249;487;489;980;983;1010;1012
980,283;979;1012
981,153;165;959;970;992;1014
982,478;486;487;1007;1008
983,249;488;489;491;499;978;979
984,249;478;487;1009
985,488;491;494
986,273;495;497;498;505
987,272;496;988
988,272;496;505;987
989,274;484;994
990,
991,501;993;997;998
992,165;167;808;842;981;1003;1014
993,247;507;991;998
994,274;500;989
995,247;500;502;1004
996,501
997,501;991;998
998,507;991;993;997
999,246;503;505;1001
1000,273;274;503;701;1002
1001,246;503;506;507;999;1004
1002,274;500;502;503;1000
1003,167;168;808;836;838;992
1004,247;502;503;506;995;1001
1005,477;487
1006,487
1007,478;487;982
1008,483;486;487;982
1009,249;487;984
1010,249;487;979
1011,479;487;1013
1012,281;283;487;700;979;980;1013
1013,479;487;700;1011;1012
1014,2;492;785;842;959;981;992;1025
1015,56;143;426;829;832;975
1016,448;788;792;814
1017,381;526;703;715;770;936
1018,109;110;415;437;786;1019
1019,59;110;437;1018
1020,25;110;381;675;715;1021
1021,25;107;108;381;1020
1022,315;326;603
1023,248;270;404;493;548;876
1024,519;680
1025,2;492;834;903;1014
1026,137;248;315;326;404;504;825
1027,540;543;794;924;927;931
1028,408
1029,295;409;410;412;414
1030,411;412;422
1031,297;298;417;778
1032,419;424;425;427;428;779;1035
1033,10;12;427;429;432;1034
1034,12;13;17;394;431;432;1033
1035,419;427;430;1032
1036,951
1037,418;420;1045
1038,419;422;423;424
1039,263;669
1040,299;682;767;902;1046
1041,258;649;742;902;1042;1046
1042,257;649;1041;1043;1044
1043,1042;1044
1044,257;416;418;1042;1043
1045,257;418;420;606;649;767;1037;1046
1046,649;767;902;1040;1041;1045
