StateID,R,G,B,Filename,StateName
38,0,8,49,"1031 - Chungcheong Jeolla.txt","Chungcheong-Jeolla"
39,0,8,57,"1032 - Yanan.txt","Yan'an"
40,0,8,66,"1033 - Fangchenggang.txt","Nanlu"
41,0,8,74,"1034 - Suzhou.txt","Suzhou"
42,0,8,82,"1035 - Nanjing.txt","Nanjing"
43,0,8,90,"1036 - Wuhan.txt","Wuhan"
44,0,8,99,"1037 - Chongqing.txt","Chongqing"
45,0,8,107,"1038 - Jinan.txt","Jinan"
46,0,8,115,"1039 - Hebei-Chahar.txt","Hebei-Chahar"
47,0,8,123,"104-Bosnia.txt","Bosnia"
48,0,8,132,"1040 - Alxa.txt","Alxa"
49,0,8,140,"1041 - Chengdu.txt","Chengdu"
50,0,8,148,"1042 - Khotan.txt","Khotan"
51,0,8,156,"1043 - Pailingmiao.txt","Pailingmiao"
52,0,8,165,"1044 - Wuwei.txt","Wuwei"
53,0,8,173,"1045 - Guyuan.txt","Guyuan"
54,0,8,181,"1046 - Yulin.txt","Yulin"
55,0,8,189,"105-Montenegro.txt","Montenegro"
56,0,8,198,"106-Macedonia.txt","Macedonia"
57,0,8,206,"107-Kosavo.txt","Serbia"
58,0,8,214,"108-Eastern Serbia.txt","Morava"
59,0,8,222,"109-Eastern Croatia.txt","Croatia"
60,0,8,231,"11-Kaunas.txt","Kaunas"
61,0,8,239,"110-Norway.txt","Oslofjord"
62,0,8,247,"111-Uusima.txt","Uusimaa"
63,0,8,255,"112-Lisbon.txt","Lisbon"
64,0,16,0,"113-Ireland.txt","Leinster"
65,0,16,8,"114-Sardinia.txt","Sardinia"
66,0,16,16,"115-Sicily.txt","Sicily"
67,0,16,24,"116-Malta.txt","Malta"
68,0,16,33,"117-Napoli.txt","Campania"
69,0,16,41,"118-Gibralter.txt","Gibraltar"
70,0,16,49,"119-Northern Ireland.txt","Northern Ireland"
71,0,16,57,"12-Latvia.txt","Vidzeme"
72,0,16,66,"120-Scottish Highlands.txt","Scottish Highlands"
73,0,16,74,"121-Scottish Lowlands.txt","Lothian"
74,0,16,82,"122-Wales.txt","Wales"
75,0,16,90,"123-Cornwall.txt","South-West England"
76,0,16,99,"124-Gotland.txt","Gotland"
77,0,16,107,"125-East Anglia.txt","East Anglia"
78,0,16,115,"126-Greater London Area.txt","Greater London Area"
79,0,16,123,"127-South-east England.txt","Sussex"
80,0,16,132,"128-West Midlands.txt","West Midlands"
81,0,16,140,"129-East Midlands.txt","East Midlands"
82,0,16,148,"13-Estonia.txt","Pärnu"
83,0,16,156,"130-Yorkshire.txt","Yorkshire"
84,0,16,165,"131-Northern England.txt","Northumberland"
85,0,16,173,"132-North-west England.txt","Lancashire"
86,0,16,181,"133-Strathclyde.txt","Lanark"
87,0,16,189,"134-Connaught.txt","Connaught"
88,0,16,198,"135-Munster.txt","Munster"
89,0,16,206,"136-Aberdeenshire.txt","Aberdeenshire"
90,0,16,214,"137-Crimea.txt","Crimea"
91,0,16,222,"138-Skane.txt","Skåne"
92,0,16,231,"139-Smaland.txt","Småland"
93,0,16,239,"14-Brittany.txt","Brittany"
94,0,16,247,"140-Vaster Gotland.txt","Västergötland"
95,0,16,255,"141-Sodermanland.txt","Södermanland"
96,0,24,0,"142-Vestlandet.txt","Vestlandet"
97,0,24,8,"143-Midt-Noreg.txt","Trøndelag"
98,0,24,16,"144-Nord-Noreg.txt","Nordland"
99,0,24,24,"145-Aland.txt","Åland"
100,0,24,33,"146-Karelia.txt","Karjala"
101,0,24,41,"147-Salla.txt","Salla"
102,0,24,49,"148-Lappi.txt","Lappi"
103,0,24,57,"149-Vaasa.txt","Vaasa"
104,0,24,66,"15-Normandy.txt","Normandy"
105,0,24,74,"150-Kuopio.txt","Kuopio"
106,0,24,82,"151-Eastern Swiss Alps.txt","Eastern Swiss Alps"
107,0,24,90,"152-Upper Austria.txt","Upper Austria"
108,0,24,99,"153-Tyrol.txt","Tyrol"
109,0,24,107,"154-Southern plain.txt","Transtisza"
110,0,24,115,"155-Western Hungary.txt","North Transdanubia"
111,0,24,123,"156-Calabria.txt","Calabria"
112,0,24,132,"157-Abruzzo.txt","Abruzzo"
113,0,24,140,"158-Piedmont.txt","Piedmont"
114,0,24,148,"159-Lombardy.txt","Lombardy"
115,0,24,156,"16-Ile de France.txt","Ile de France"
116,0,24,165,"160-Veneto.txt","Veneto"
117,0,24,173,"161-Emilia Romagna.txt","Emilia Romagna"
118,0,24,181,"162-Tuscany.txt","Tuscany"
119,0,24,189,"163-Dalmatia.txt","Zadar"
120,0,24,198,"164-Dodecanese.txt","Dodecanese"
121,0,24,206,"165-Catalonia.txt","Catalonia"
122,0,24,214,"166-Western Aragon.txt","Western Aragón"
123,0,24,222,"167-Valencia.txt","Valencia"
124,0,24,231,"168-Murcia.txt","Murcia"
125,0,24,239,"169-Sevilla.txt","Sevilla"
126,0,24,247,"17-Alcase Lorraine.txt","Franche-Comte"
127,0,24,255,"170-Extremadura.txt","Extremadura"
128,0,33,0,"171-Galicia.txt","Galicia"
129,0,33,8,"172-Navarre.txt","Navarra"
130,0,33,16,"173-Granada.txt","Granada"
131,0,33,24,"174-Leon.txt","León"
132,0,33,33,"175-Ciudad Real.txt","Ciudad Real"
133,0,33,41,"176-Burgos.txt","Burgos"
134,0,33,49,"177-Balearic Islands.txt","Islas Baleares"
135,0,33,57,"178-Canary islands.txt","Islas Canarias"
136,0,33,66,"179-Beja.txt","Beja"
137,0,33,74,"18-Champagne.txt","Champagne"
138,0,33,82,"180-Porto.txt","Porto"
139,0,33,90,"181-Guarda.txt","Guarda"
140,0,33,99,"182-Crete.txt","Crete"
141,0,33,107,"183-Cyprus.txt","Cyprus"
142,0,33,115,"184-Thrace.txt","Thrace"
143,0,33,123,"185-Epirus.txt","Epirus"
144,0,33,132,"186-Peloponnese.txt","Peloponnese"
145,0,33,140,"187-Aegean Islands.txt","Aegean Islands"
146,0,33,148,"188-Memel.txt","Memel"
147,0,33,156,"189-Kaunas.txt","Žemaitija"
148,0,33,165,"19-Aquitaine.txt","Aquitaine"
149,0,33,173,"190-Kurzeme.txt","Kurzeme"
150,0,33,181,"191-Tartu.txt","Tartu"
151,0,33,189,"192-Odessa.txt","Odessa"
152,0,33,198,"193-Kiev.txt","Chernigov"
153,0,33,206,"194-Pinsk Marches.txt","Mozyr"
154,0,33,214,"195-Leningrad Area.txt","Leningrad"
155,0,33,222,"196-Kherson.txt","Kherson"
156,0,33,231,"197-Mykolaiv.txt","Mykolaiv"
157,0,33,239,"198-Vinnytsia.txt","Vinnytsia"
158,0,33,247,"199-Khmelnytskyi.txt","Proskuriv"
159,0,33,255,"2-Italy.txt","Lazio"
160,0,41,0,"20-Franche-comte.txt","Rhone"
161,0,41,8,"200-Rivne.txt","Zaporozhe"
162,0,41,16,"201-Zhytomyr.txt","Zhytomyr"
163,0,41,24,"202-Western Kiev.txt","Kiev"
164,0,41,33,"203-Cherkasy.txt","Cherkasy"
165,0,41,41,"204-Brest.txt","Bobruysk"
166,0,41,49,"205-Hrodna.txt","Kaluga"
167,0,41,57,"206-Minsk.txt","Minsk"
168,0,41,66,"207-Viciebsk.txt","Vitebsk"
169,0,41,74,"208-Pskov.txt","Luga"
170,0,41,82,"209-Smolensk.txt","Pskov"
171,0,41,90,"21-Bouches-du-Rhone.txt","Bouches-du-Rhône"
172,0,41,99,"210-Bryansk.txt","Nevel"
173,0,41,107,"211-Burgas.txt","Burgas"
174,0,41,115,"212-Plovdiv.txt","Plovdiv"
175,0,41,123,"213-Murmansk.txt","Murmansk"
176,0,41,132,"214-Arkhangelsk.txt","Arkhangelsk"
177,0,41,140,"215-Eastern Karelia.txt","Onega"
178,0,41,148,"216-Below Zero.txt","Olonets"
179,0,41,156,"217-Stalingrad Area.txt","Stalingrad"
180,0,41,165,"218-Rostov Area.txt","Rostov"
181,0,41,173,"219-Moscow Area.txt","Moscow"
182,0,41,181,"22-Roussillion.txt","Languedoc"
183,0,41,189,"220-Kursk Area.txt","Kursk"
184,0,41,198,"221-Kharkov.txt","Kharkov"
185,0,41,206,"222-Orel.txt","Orel"
186,0,41,214,"223-tula.txt","Tula"
187,0,41,222,"224-Bryansk.txt","Bryansk"
188,0,41,231,"225-Glukhov.txt","Sumy"
189,0,41,239,"226-Nikopol.txt","Dnipropetrovsk"
190,0,41,247,"227-Stalino.txt","Stalino"
191,0,41,255,"228-Taganrog.txt","Voroshilovgrad"
192,0,49,0,"229-baku.txt","Azerbaijan"
193,0,49,8,"23-Poitou.txt","Poitou"
194,0,49,16,"230-Armenia.txt","Armenia"
195,0,49,24,"231-Georgia.txt","Georgia"
196,0,49,33,"232-Grozny.txt","Dagestan"
197,0,49,41,"233-Caucasus Mountains.txt","Sochi"
198,0,49,49,"234-Krasodar.txt","Krasnodar"
199,0,49,57,"235-Stravropol.txt","Stavropol"
200,0,49,66,"236-Astrakhan.txt","Astrakhan"
201,0,49,74,"237-Elista.txt","Kalmykia"
202,0,49,82,"238-volgodonsk.txt","Volgodonsk"
203,0,49,90,"239-Saratov.txt","Saratov"
204,0,49,99,"24-Centre.txt","Centre"
205,0,49,107,"240-Voronezh.txt","Belgorod"
206,0,49,115,"241-Pochep.txt","Gomel"
207,0,49,123,"242-Smolensk.txt","Smolensk"
208,0,49,132,"243-Roslavl.txt","Roslavl"
209,0,49,140,"244-Gatchina.txt","Volkhov"
210,0,49,148,"245-Donetsk.txt","Millerovo"
211,0,49,156,"246-Rzhev.txt","Rzhev"
212,0,49,165,"247-Tver.txt","Kalinin"
213,0,49,173,"248-Yaroslavl.txt","Yaroslavl"
214,0,49,181,"249-Kazan.txt","Kazan"
215,0,49,189,"25-Limousin.txt","Limousin"
216,0,49,198,"250-ulyanovsky.txt","Ulyanovsky"
217,0,49,206,"251-Samara.txt","Kuybyshev"
218,0,49,214,"252-Nizhny Novogrod.txt","Gorky"
219,0,49,222,"253-Ivanovo.txt","Ivanovo"
220,0,49,231,"254-Ryazan.txt","Ryazan"
221,0,49,239,"255-Penza.txt","Penza"
222,0,49,247,"256-Cheboksary.txt","Chuvashia"
223,0,49,255,"257-Livny.txt","Tambov"
224,0,57,0,"258-lipetsk.txt","Lipetsk"
225,0,57,8,"259-Liski.txt","Poltava"
226,0,57,16,"26-Bourgogne.txt","Auvergne"
227,0,57,24,"260-Borisoglbsk.txt","Voronezh"
228,0,57,33,"261-USA.txt","Ohio"
229,0,57,41,"262-Torzhok.txt","Pechora"
230,0,57,49,"263-Veliky Novogrod.txt","Novgorod"
231,0,57,57,"264-Tikhvin.txt","Tikhvin"
232,0,57,66,"265-Mikhaylovka.txt","Mikhaylovka"
233,0,57,74,"266-Persia.txt","Tehran"
234,0,57,82,"267-Afghanistan.txt","Kabul"
235,0,57,90,"268-French Somaliland.txt","French Somaliland"
236,0,57,99,"269-British Somaliland.txt","British Somaliland"
237,0,57,107,"27-Champagne2.txt","Bourgogne"
238,0,57,115,"270-Pitcarin Island.txt","Pitcairn Island"
239,0,57,123,"271-ethiopia.txt","Shewa"
240,0,57,132,"272-French Africa.txt","Senegal"
241,0,57,140,"273-Italian Africa.txt","Libyan Desert"
242,0,57,148,"274-British Africa.txt","Ghana"
243,0,57,156,"275-South Africa.txt","Transvaal"
244,0,57,165,"276-Canada.txt","Southern Ontario"
245,0,57,173,"277-Mexico.txt","Mexico City"
246,0,57,181,"278-Argentina.txt","Buenos Aires"
247,0,57,189,"279-Chile.txt","Santiago"
248,0,57,198,"28-Alcase.txt","Alsace-Lorraine"
249,0,57,206,"280-Brazil.txt","Mato Grosso"
250,0,57,214,"281-India.txt","Maldives"
251,0,57,222,"282-Japan.txt","Kanto"
252,0,57,231,"283-China.txt","Gansu"
253,0,57,239,"284-New Zealand.txt","North Island"
254,0,57,247,"285-Austraila.txt","New South Wales"
255,0,57,255,"286-Indochina.txt","Champa"
256,0,66,0,"287-Sinkiang.txt","Taklamakan"
257,0,66,8,"288-Magwe.txt","Magwe"
258,0,66,16,"289-Siam.txt","Siam"
259,0,66,24,"29-Pas de Calais.txt","Nord-Pas-de-Calais"
260,0,66,33,"290-Spanish Africa.txt","Spanish Africa"
261,0,66,41,"291-Iraq.txt","Baghdad"
262,0,66,49,"292-Saudi Arabia.txt","Nejd"
263,0,66,57,"293-Yemen.txt","North Yemen"
264,0,66,66,"294-Oman.txt","Muscat"
265,0,66,74,"295-Congo.txt","Léopoldville"
266,0,66,82,"296-Portugal Africa.txt","Portuguese Guinea"
267,0,66,90,"297-Belgian Africa.txt","Equatorial Guinea"
268,0,66,99,"298-Liberia.txt","Liberia"
269,0,66,107,"299-Falkand Islands.txt","Falkland Islands"
270,0,66,115,"3-Swiss Plateau.txt","Swiss Plateau"
271,0,66,123,"30-Loire.txt","Loire"
272,0,66,132,"300-Uruguay.txt","Montevideo"
273,0,66,140,"301-paraguay.txt","Paraguay"
274,0,66,148,"302-bolivia.txt","La Paz"
275,0,66,156,"303-Peru.txt","Lima"
276,0,66,165,"304-Panama.txt","Panamá"
277,0,66,173,"305-Ecuador.txt","Ecuador"
278,0,66,181,"306-Colombia.txt","Cundinamarca"
279,0,66,189,"307-Venezuela.txt","Miranda"
280,0,66,198,"308-Britain SA.txt","Leeward Islands"
281,0,66,206,"309-Dutch SA.txt","Suriname"
282,0,66,214,"31-Midi Pyrenees.txt","Midi Pyrenees"
283,0,66,222,"310-French SA.txt","French Guiana"
284,0,66,231,"311-BritMex.txt","British Honduras"
285,0,66,239,"312-Honduras.txt","Honduras"
286,0,66,247,"313-Guatemala.txt","Guatemala"
287,0,66,255,"314-El Salvador.txt","El Salvador"
288,0,74,0,"315-Cuba.txt","Cuba"
289,0,74,8,"316-Costa Rica.txt","Costa Rica"
290,0,74,16,"317-Nicaragua.txt","Nicaragua"
291,0,74,24,"318-Haiti.txt","Haiti"
292,0,74,33,"319-Dominican Republic.txt","Dominican Republic"
293,0,74,41,"32-Rhone Alpes.txt","Alpes"
294,0,74,49,"320-French India.txt","French India"
295,0,74,57,"321-Goa.txt","Goa"
296,0,74,66,"322-Tibet.txt","Nagqu"
297,0,74,74,"323-Nepal.txt","Nepal"
298,0,74,82,"324-Bhutan.txt","Bhutan"
299,0,74,90,"325-Yunnan.txt","Yunnan"
300,0,74,99,"326-HongKong.txt","Hong Kong"
301,0,74,107,"327-Philippines.txt","Manila"
302,0,74,115,"328-Manchukuo.txt","Kirin"
303,0,74,123,"329-Tannu Tuva.txt","Tannu Tuva"
304,0,74,132,"33-Centre sud.txt","Centre-Sud"
305,0,74,140,"330-Mongolia.txt","Ulaanbaatar"
306,0,74,148,"331-Newfoundland.txt","Newfoundland"
307,0,74,156,"332-Labrador.txt","Labrador"
308,0,74,165,"333-British Borneo.txt","Sarawak"
309,0,74,173,"334-Dutch Borneo.txt","Kalimantan"
310,0,74,181,"335-Dutch East Indies.txt","Java"
311,0,74,189,"336-Singapore.txt","Malaya"
312,0,74,198,"337-Faroe Islands.txt","Faroe Islands"
313,0,74,206,"338-Gloucestershire.txt","Gloucestershire"
314,0,74,214,"339-Izmir.txt","Izmir"
315,0,74,222,"34-Wallonie.txt","Wallonia"
316,0,74,231,"340-Bursa.txt","Bursa"
317,0,74,239,"341-Edirne.txt","Edirne"
318,0,74,247,"342-Antalya.txt","Antalya"
319,0,74,255,"343-Afyon.txt","Afyon"
320,0,82,0,"344-Adana.txt","Malatya"
321,0,82,8,"345-Mersin.txt","Mersin"
322,0,82,16,"346-Konya.txt","Konya"
323,0,82,24,"347-Izmit.txt","Izmit"
324,0,82,33,"348-Kayseri.txt","Kayseri"
325,0,82,41,"349-Silvas.txt","Sivas"
326,0,82,49,"35-Gelderland.txt","Brabant"
327,0,82,57,"350-Diyarbekir.txt","Diyarbakır"
328,0,82,66,"351-Vologda.txt","Vologda"
329,0,82,74,"352-Hakkari.txt","Hakkari"
330,0,82,82,"353-Erzurum.txt","Tunceli"
331,0,82,90,"354-Trabzon.txt","Trabzon"
332,0,82,99,"355-Samsun.txt","Samsun"
333,0,82,107,"356-Sinop.txt","Kastamonu"
334,0,82,115,"357-New England.txt","New England"
335,0,82,123,"358-New York.txt","New York"
336,0,82,132,"359-New Jersey.txt","New Jersey"
337,0,82,140,"36-Friesland.txt","Friesland"
338,0,82,148,"360-Pennsylvania.txt","Pennsylvania"
339,0,82,156,"361-Maryland.txt","Maryland"
340,0,82,165,"362-Virginia.txt","Virginia"
341,0,82,173,"363-North Carolina.txt","North Carolina"
342,0,82,181,"364-South Carolina.txt","South Carolina"
343,0,82,189,"365-Georgia.txt","Georgia"
344,0,82,198,"366-Florida.txt","Florida"
345,0,82,206,"367-Alabama.txt","Alabama"
346,0,82,214,"368-Tennesse.txt","Tennessee"
347,0,82,222,"369-Kentucky.txt","Kentucky"
348,0,82,231,"37-Denmark.txt","Sjaelland"
349,0,82,239,"370-Mississippi.txt","Mississippi"
350,0,82,247,"371-Louisiana.txt","Louisiana"
351,0,82,255,"372-Arkansas.txt","Arkansas"
352,0,90,0,"373-Missouri.txt","Missouri"
353,0,90,8,"374-Oklahoma.txt","Oklahoma"
354,0,90,16,"375-Texas.txt","Texas"
355,0,90,24,"376-New Mexico.txt","New Mexico"
356,0,90,33,"377-Arizona.txt","Arizona"
357,0,90,41,"378-California.txt","California"
358,0,90,49,"379-Nevada.txt","Nevada"
359,0,90,57,"38-Sweden.txt","Gävleborg"
360,0,90,66,"380-Utah.txt","Utah"
361,0,90,74,"381-Wyoming.txt","Wyoming"
362,0,90,82,"382-Colorado.txt","Colorado"
363,0,90,90,"383-Kansas.txt","Kansas"
364,0,90,99,"384-Nebraska.txt","Nebraska"
365,0,90,107,"385-Oregon.txt","Oregon"
366,0,90,115,"386-Washington.txt","Washington"
367,0,90,123,"387-Idaho.txt","Idaho"
368,0,90,132,"388-Montana.txt","Montana"
369,0,90,140,"389-North Dakota.txt","North Dakota"
370,0,90,148,"39-South Tyrol.txt","South Tyrol"
371,0,90,156,"390-South Dakota.txt","South Dakota"
372,0,90,165,"391-Minnesota.txt","Minnesota"
373,0,90,173,"392-Iowa.txt","Iowa"
374,0,90,181,"393-Michigan.txt","Michigan"
375,0,90,189,"394-Wisconsin.txt","Wisconsin"
376,0,90,198,"395-Illinois.txt","Illinois"
377,0,90,206,"396-Indiana.txt","Indiana"
378,0,90,214,"397-Syktyvkar.txt","Syktyvkar"
379,0,90,222,"398-Perm.txt","Perm"
380,0,90,231,"399-Izhevsk.txt","Udmurtia"
381,0,90,239,"4-Austria.txt","Lower Austria"
382,0,90,247,"40-USSR.txt","Altai Krai"
383,0,90,255,"400-Kirov.txt","Kirov"
384,0,99,0,"401-Engels.txt","Balakovo"
385,0,99,8,"402-Akhtubinsk.txt","Akhtubinsk"
386,0,99,16,"403-Kharabali.txt","Tyumen"
387,0,99,24,"404-Saykhin.txt","Kyzyl Orda"
388,0,99,33,"405-Atyrau.txt","Tashkent"
389,0,99,41,"406-Krasnyy Yar.txt","Guryev"
390,0,99,49,"407-Uralsk.txt","Ural'sk"
391,0,99,57,"408-Vladivostok.txt","Vladivostok"
392,0,99,66,"409-Khabarovsk.txt","Khabarovsk"
393,0,99,74,"41-Madrid.txt","Madrid"
394,0,99,82,"410-Sistan.txt","Sistan"
395,0,99,90,"411-Hormozgan.txt","Isfahan"
396,0,99,99,"412-Fars.txt","Fars"
397,0,99,107,"413-Khuzestan.txt","Khuzestan"
398,0,99,115,"414-Kerman.txt","Kerman"
399,0,99,123,"415-South Khorasan.txt","Herat"
400,0,99,132,"416-Razavi Khorasan.txt","Khorasan"
401,0,99,140,"417-Golestan.txt","Hamadan"
402,0,99,148,"418-Semnan.txt","Semnan"
403,0,99,156,"419-Azerbaijan.txt","West Azerbaijan"
404,0,99,165,"42-Rhineland.txt","Moselland"
405,0,99,173,"420-Gilan.txt","Gilan"
406,0,99,181,"421-Kurdistan.txt","Ilam"
407,0,99,189,"422-Ceylon.txt","Ceylon"
408,0,99,198,"423-Madras.txt","Southern Madras"
409,0,99,206,"424-Andra Pradesh.txt","Northern Madras"
410,0,99,214,"425-Mysore.txt","Mysore"
411,0,99,222,"426-Orissa.txt","Orissa"
412,0,99,231,"427-Hyderabad.txt","Hyderabad"
413,0,99,239,"428-Western Indian States.txt","Gujarat"
414,0,99,247,"429-Bombay.txt","Bombay"
415,0,99,255,"43-Hungary.txt","Northern Hungary"
416,0,107,0,"430-Bangladesh.txt","East Bengal"
417,0,107,8,"431-Calcutta.txt","West Bengal"
418,0,107,16,"432-Assam.txt","Assam"
419,0,107,24,"433-Rajputana.txt","Rajahsthan"
420,0,107,33,"434-Arunachal Pradesh.txt","Arunachal Pradesh"
421,0,107,41,"435-Bihar.txt","Bihar"
422,0,107,49,"436-Central Provinces.txt","Central Provinces"
423,0,107,57,"437-Central Indian Provinces.txt","Central India"
424,0,107,66,"438-United Provinces.txt","United Provinces"
425,0,107,74,"439-Delhi.txt","Delhi"
426,0,107,82,"44-Albania.txt","Central Albania"
427,0,107,90,"440-West Punjab.txt","West Punjab"
428,0,107,99,"441-Kashmir.txt","Kashmir"
429,0,107,107,"442-Peshawar.txt","Peshawar"
430,0,107,115,"443-Sind.txt","Sind"
431,0,107,123,"444-Baluchistan States.txt","South Baluchistan"
432,0,107,132,"445-Quetta.txt","Sibi"
433,0,107,140,"446-Cairo.txt","Suez"
434,0,107,148,"447-Alexandria.txt","Alexandria"
435,0,107,156,"448-Tripoli.txt","Tripoli"
436,0,107,165,"449-Libyan Coast.txt","El Agheila"
437,0,107,173,"45-Yugoslavia.txt","Vojvodina"
438,0,107,181,"450-Benghasi.txt","Benghasi"
439,0,107,189,"451-Derna.txt","Derna"
440,0,107,198,"452-Marsa Matruh.txt","Matrouh"
441,0,107,206,"453-Sinai.txt","Sinai"
442,0,107,214,"454-Israel.txt","Palestine"
443,0,107,222,"455-Jordan.txt","Jordan"
444,0,107,231,"456-Luxor.txt","Aswan"
445,0,107,239,"457-Aswan.txt","Eastern Desert"
446,0,107,247,"458-Tunisia.txt","Tunisia"
447,0,107,255,"459-Western Algeria.txt","Algiers"
448,0,115,0,"46-Romania.txt","Muntenia"
449,0,115,8,"460-Eastern Algeria.txt","Constantine"
450,0,115,16,"461-Northern Morocco.txt","Casablanca"
451,0,115,24,"462-Southern Morocco.txt","Marrakech"
452,0,115,33,"463-Alaska.txt","Alaska"
453,0,115,41,"464-Nova Scotia.txt","Nova Scotia"
454,0,115,49,"465-New Brunswick.txt","New Brunswick"
455,0,115,57,"466-Quebec.txt","Nord du Quebec"
456,0,115,66,"467-Manitoba.txt","Manitoba"
457,0,115,74,"468-Nunavut.txt","Saint Lawrence"
458,0,115,82,"469-Saskatchewan.txt","Saskatchewan"
459,0,115,90,"47-Greece.txt","Attica"
460,0,115,99,"470-Alberta.txt","Alberta"
461,0,115,107,"471-Northwestern Canada.txt","Prince Rupert"
462,0,115,115,"472-Northwest Territories.txt","N.W Territories"
463,0,115,123,"473-British Columbia.txt","British Columbia"
464,0,115,132,"474-Yucatan.txt","Yucatan"
465,0,115,140,"475-Chiapas.txt","Chiapas"
466,0,115,148,"476-Oaxaca.txt","Oaxaca"
467,0,115,156,"477-Veracruz.txt","Veracruz"
468,0,115,165,"478-Nayarit.txt","Jalisco"
469,0,115,173,"479-Tamaulipas.txt","Tamaulipas"
470,0,115,181,"48-Bulgaria.txt","Sofia"
471,0,115,189,"480-Coahuila.txt","Coahuila"
472,0,115,198,"481-Sinaloa.txt","Durango"
473,0,115,206,"482-Chihuahua.txt","Chihuahua"
474,0,115,214,"483-Sonora.txt","Sonora"
475,0,115,222,"484-Baja California.txt","Baja California"
476,0,115,231,"485-Guerrero.txt","Guerrero"
477,0,115,239,"486-Meta.txt","Meta"
478,0,115,247,"487-Amazinas.txt","Santa Cruz"
479,0,115,255,"488-Bolivar.txt","Bolivar"
480,0,123,0,"489-Monagas.txt","Zulia"
481,0,123,8,"49-Turkey.txt","Ankara"
482,0,123,16,"490-Pastaza.txt","Pastaza"
483,0,123,24,"491-Loreto.txt","Loreto"
484,0,123,33,"492-Piura.txt","Arequipa"
485,0,123,41,"493-La Libertad.txt","La Libertad"
486,0,123,49,"494-Ucayali.txt","Ucayali"
487,0,123,57,"495-Amazonas.txt","Amazonas"
488,0,123,66,"496-Para.txt","Minas Gerais"
489,0,123,74,"497-Maranhao.txt","Maranhão"
490,0,123,82,"498-Rio Grande.txt","Rio Grande do Norte"
491,0,123,90,"499-Bahia.txt","Bahia"
492,0,123,99,"5-Germany.txt","Ermland-Masuren"
493,0,123,107,"50-Baden.txt","Württemberg"
494,0,123,115,"500-Rio de Janerio.txt","Rio de Janeiro"
495,0,123,123,"501-Saol Paulo.txt","São Paulo"
496,0,123,132,"502-Rio Grande Sul.txt","Rio Grande do Sul"
497,0,123,140,"503-Santa Catarina.txt","Santa Catarina"
498,0,123,148,"504-Iguacu.txt","Punta Porá"
499,0,123,156,"505-Goias.txt","Goiás"
500,0,123,165,"506-Northern Chile.txt","Antofagasta"
501,0,123,173,"507-Southern Chile.txt","Magallanes"
502,0,123,181,"508-Argentine Northwest.txt","Tucumán"
503,0,123,189,"509-Gran Chaco.txt","Chaco Austral"
504,0,123,198,"51-Moselland.txt","Rhineland"
505,0,123,206,"510-Mesopotamia.txt","Región Mesopotámica"
506,0,123,214,"511-Cuyo.txt","Mendoza"
507,0,123,222,"512-Patagonia.txt","Río Negro"
508,0,123,231,"513-Southern Algeria.txt","Tlemcen"
509,0,123,239,"514-North Africa.txt","Algerian Desert"
510,0,123,247,"515-Central Africa.txt","Southern Sahara"
511,0,123,255,"516-Northern Siberia.txt","Dudinka"
