PortraitID,CountryID,CountryName,Ideology,LeaderName,CurrentlyActive
63,13,Albania,Fascism,Tefik Mborja,yes
64,14,Greece,Democracy,Konstantinos Demertzis,yes
65,14,Greece,Autocracy,Ioannis Metaxás,yes
66,14,Greece,Fascism,Ioannis Metaxás,yes
67,14,Greece,Autocracy,George II,no
68,14,Greece,Communism,Nikos Zachariadis,yes
69,15,Bulgaria,Communism,Georgi Dimitrov,yes
70,15,Bulgaria,Autocracy,Boris III,yes
71,15,Bulgaria,Fascism,Alexander Tsankov,yes
72,15,Bulgaria,Democracy,Atanas Burov,yes
73,16,Romania,Autocracy,Carol II,yes
74,16,Romania,Communism,Boris Stefanov,yes
75,16,Romania,Democracy,Iuliu Maniu,yes
76,16,Romania,Fascism,Corneliu Zelea Codreanu,yes
77,17,Poland,Autocracy,Ignacy Mościcki,yes
78,17,Poland,Democracy,Władysław Sikorski,yes
79,17,Poland,Communism,Bolesław Bierut,yes
80,17,Poland,Fascism,Bolesław Piasecki,yes
81,18,Lithuania,Autocracy,Antanas Smetona,yes
82,18,Lithuania,Fascism,Augustinas Voldemaras,yes
83,18,Lithuania,Communism,Antanas Sniečkus,yes
84,18,Lithuania,Democracy,Kazys Grinius,yes
85,19,Latvia,Autocracy,Kārlis Ulmanis,yes
86,19,Latvia,Democracy,Brūno Kalniņš,yes
87,19,Latvia,Communism,Jānis Rudzutaks,yes
88,19,Latvia,Fascism,Gustavs Celmiņš,yes
89,20,Estonia,Autocracy,Konstantin Päts,yes
90,20,Estonia,Fascism,Andres Larka,yes
91,20,Estonia,Communism,Nigol Andresen,yes
92,20,Estonia,Democracy,Jaan Tõnisson,yes
93,21,Denmark,Democracy,Thorvald Stauning,yes
94,21,Denmark,Fascism,Frits Clausen,yes
95,21,Denmark,Communism,Aksel Larsen,yes
96,21,Denmark,Autocracy,Christian X,yes
97,22,Sweden,Autocracy,Gustaf V,yes
98,22,Sweden,Communism,Sven Linderot,yes
99,22,Sweden,Fascism,Sven Olov Lindholm,yes
100,22,Sweden,Democracy,Per Albin Hansson,yes
101,23,Norway,Democracy,Johan Nygaardsvold,yes
102,23,Norway,Fascism,Vidkun Quisling,yes
103,23,Norway,Communism,Emil Løvlien,yes
104,23,Norway,Autocracy,Haakon VII,yes
105,24,Finland,Communism,Yrjö Sirola,yes
106,24,Finland,Fascism,Vilho Annala,yes
107,24,Finland,Autocracy,Carl Gustaf Emil Mannerheim,yes
108,24,Finland,Democracy,Pehr Evind Svinhufvud,yes
109,25,Soviet Union,Fascism,Konstantin Rodzaevsky,yes
110,25,Soviet Union,Democracy,Alexander Kerensky,yes
111,25,Soviet Union,Democracy,Pavel Milyukov,no
112,25,Soviet Union,Communism,Leon Trotsky,no
113,25,Soviet Union,Autocracy,Kirill I ,yes
114,26,United Kingdom,Fascism,Oswald Mosley,yes
115,26,United Kingdom,Communism,Harry Pollitt,yes
116,26,United Kingdom,Autocracy,George V,yes
117,26,United Kingdom,Autocracy,Edward VIII,no
118,26,United Kingdom,Autocracy,George VI,no
119,27,Ireland,Communism,Seán Murray,yes
120,27,Ireland,Fascism,Eoin O'Duffy,yes
121,27,Ireland,Democracy,Éamon de Valera,yes
122,27,Ireland,Autocracy,Patrick Belton,yes
123,28,Turkey,Autocracy,Mustafa Kemal Atatürk,yes
124,28,Turkey,Fascism,Recep Peker,yes
125,28,Turkey,Democracy,Ali Fethi Okyar,no
126,28,Turkey,Democracy,Mustafa Kemal Atatürk,yes
127,28,Turkey,Communism,Şefik Hüsnü Deymer,yes
128,29,Iraq,Autocracy,King Ghazi I,no
129,29,Iraq,Autocracy,Yasin al-Hashimi,yes
130,29,Iraq,Communism,Yusuf Salman Yusuf,yes
131,29,Iraq,Fascism,Rashid Ali al-Gaylani,yes
132,29,Iraq,Democracy,Kamil Chadirji,yes
133,30,Saudi Arabia,Autocracy,Abdulaziz Ibn Saud,yes
134,30,Saudi Arabia,Democracy,Sayyid Muhammad Tahir al-Dabbagh,yes
135,30,Saudi Arabia,Fascism,Fuad Hamza,yes
136,31,Persia,Autocracy,Reza Shah Pahlavi,yes
137,31,Persia,Democracy,Mohammad Mossadegh,yes
138,31,Persia,Fascism,Abdul-Rahman Saif Azad,yes
139,31,Persia,Communism,Taqi Arani,yes
